4;77
4,1;88,3
4,2;99,6
4,3;110,9
4,4;122,2
4,5;133,5
4,6;144,8
4,7;156,1
4,8;167,4
4,9;178,7
5;190
5,1;206,3
5,2;222,6
5,3;238,9
5,4;255,2
5,5;271,5
5,6;287,8
5,7;304,1
5,8;320,4
5,9;336,7
6;353
6,1;375,8
6,2;398,6
6,3;421,4
6,4;444,2
6,5;467
6,6;489,8
6,7;512,6
6,8;535,4
6,9;558,2
7;581
7,1;611,5
7,2;642
7,3;672,5
7,4;703
7,5;733,5
7,6;764
7,7;794,5
7,8;825
7,9;855,5
8;886
8,1;924,7
8,2;963,4
8,3;1002,1
8,4;1040,8
8,5;1079,5
8,6;1118,2
8,7;1156,9
8,8;1195,6
8,9;1234,3
9;1273
9,1;1316,7
9,2;1360,4
9,3;1404,1
9,4;1447,8
9,5;1491,5
9,6;1535,2
9,7;1578,9
9,8;1622,6
9,9;1666,3
10;1710
10,1;1753,5
10,2;1797
10,3;1840,5
10,4;1884
10,5;1927,5
10,6;1971
10,7;2014,5
10,8;2058
10,9;2101,5
11;2145
11,1;2184,9
11,2;2224,8
11,3;2264,7
11,4;2304,6
11,5;2344,5
11,6;2384,4
11,7;2424,3
11,8;2464,2
11,9;2504,1
12;2544
12,1;2573,3
12,2;2602,6
12,3;2631,9
12,4;2661,2
12,5;2690,5
12,6;2719,8
12,7;2749,1
12,8;2778,4
12,9;2807,7
13;2837
13,1;2849,8
13,2;2862,6
13,3;2875,4
13,4;2888,2
13,5;2901
13,6;2913,8
13,7;2926,6
13,8;2939,4
13,9;2952,2
14;2965
14,1;2968
14,2;2971
14,3;2974
14,4;2977
14,5;2980
14,6;2983
14,7;2986
14,8;2989
14,9;2992
15;2995
15,1;2995,5
15,2;2996
15,3;2996,5
15,4;2997
15,5;2997,5
15,6;2998
15,7;2998,5
15,8;2999
15,9;2999,5
16;3000
16,1;3000
16,2;3000
16,3;3000
16,4;3000
16,5;3000
16,6;3000
16,7;3000
16,8;3000
16,9;3000
17;3000
17,1;3000
17,2;3000
17,3;3000
17,4;3000
17,5;3000
17,6;3000
17,7;3000
17,8;3000
17,9;3000
18;3000
18,1;3000
18,2;3000
18,3;3000
18,4;3000
18,5;3000
18,6;3000
18,7;3000
18,8;3000
18,9;3000
19;3000
19,1;3000
19,2;3000
19,3;3000
19,4;3000
19,5;3000
19,6;3000
19,7;3000
19,8;3000
19,9;3000
20;3000
20,1;3000
20,2;3000
20,3;3000
20,4;3000
20,5;3000
20,6;3000
20,7;3000
20,8;3000
20,9;3000
21;3000
21,1;3000
21,2;3000
21,3;3000
21,4;3000
21,5;3000
21,6;3000
21,7;3000
21,8;3000
21,9;3000
22;3000
22,1;3000
22,2;3000
22,3;3000
22,4;3000
22,5;3000
22,6;3000
22,7;3000
22,8;3000
22,9;3000
23;3000
23,1;3000
23,2;3000
23,3;3000
23,4;3000
23,5;3000
23,6;3000
23,7;3000
23,8;3000
23,9;3000
24;3000
24,1;3000
24,2;3000
24,3;3000
24,4;3000
24,5;3000
24,6;3000
24,7;3000
24,8;3000
24,9;3000
25;3000
