"   Data","   Vazao (L/s)","   Succao (mca)","   Recalque (mca)","   Ligacoes "
"2015-06-26 03:00:00","2.7569444179534912","50.0","96.050003051757813","0.0"
"2015-06-26 04:00:00","3.3402776718139648","49.674999237060547","95.574996948242188","0.0"
"2015-06-26 05:00:00","3.125","50.0","95.599998474121094","0.0"
"2015-06-26 06:00:00","2.9722223281860352","49.950000762939453","95.849998474121094","0.0"
"2015-06-26 07:00:00","2.8402776718139648","50.299999237060547","96.275001525878906","0.0"
"2015-06-26 08:00:00","3.2708332538604736","57.049999237060547","102.69999694824219","0.0"
"2015-06-26 09:00:00","3.3194444179534912","60.125","105.40000152587891","0.0"
"2015-06-26 10:00:00","3.4861111640930176","59.674999237060547","104.94999694824219","0.0"
"2015-06-26 11:00:00","4.2361111640930176","58.75","103.84999847412109","0.0"
"2015-06-26 12:00:00","5.2916665077209473","56.825000762939453","100.65000152587891","0.0"
"2015-06-26 13:00:00","6.2916665077209473","54.025001525878906","97.775001525878906","0.0"
"2015-06-26 14:00:00","6.9305553436279297","52.549999237060547","94.974998474121094","0.0"
"2015-06-26 15:00:00","6.8402776718139648","52.599998474121094","95.25","0.0"
"2015-06-26 16:00:00","6.6944446563720703","52.775001525878906","95.974998474121094","0.0"
"2015-06-26 17:00:00","6.4513888359069824","47.575000762939453","90.675003051757813","0.0"
"2015-06-26 18:00:00","6.5833334922790527","44.775001525878906","87.800003051757813","0.0"
"2015-06-26 19:00:00","5.7777776718139648","45.575000762939453","89.375","0.0"
"2015-06-26 20:00:00","5.2430553436279297","46.625","91.099998474121094","0.0"
"2015-06-26 21:00:00","4.1875","50.724998474121094","95.974998474121094","0.0"
"2015-06-26 22:00:00","3.5","49.200000762939453","94.900001525878906","0.0"
"2015-06-26 23:00:00","3.5763888359069824","49.125","94.574996948242188","0.0"
"2015-06-27 00:00:00","3.3263888359069824","49.599998474121094","94.75","0.0"
"2015-06-27 01:00:00","2.9652776718139648","49.900001525878906","95.375","0.0"
"2015-06-27 02:00:00","2.8611111640930176","49.825000762939453","95.724998474121094","0.0"
"2015-06-27 03:00:00","2.9652776718139648","49.924999237060547","95.824996948242188","0.0"
"2015-06-27 04:00:00","2.5694444179534912","50.375","96.574996948242188","0.0"
"2015-06-27 05:00:00","2.3819444179534912","50.650001525878906","97.025001525878906","0.0"
"2015-06-27 06:00:00","2.1527776718139648","50.900001525878906","96.800003051757813","0.0"
"2015-06-27 07:00:00","2.0694444179534912","50.849998474121094","97.425003051757812","0.0"
"2015-06-27 08:00:00","2.5","57.474998474121094","103.5","0.0"
"2015-06-27 09:00:00","2.5347223281860352","60.700000762939453","106.55000305175781","0.0"
"2015-06-27 10:00:00","2.5486111640930176","60.875","106.82499694824219","0.0"
"2015-06-27 11:00:00","2.6458332538604736","60.575000762939453","106.34999847412109","0.0"
"2015-06-27 12:00:00","2.9652776718139648","60.0","105.52500152587891","0.0"
"2015-06-27 13:00:00","3.6527776718139648","58.849998474121094","104.09999847412109","0.0"
"2015-06-27 14:00:00","3.7777776718139648","58.325000762939453","103.17500305175781","0.0"
"2015-06-27 15:00:00","4.0972223281860352","57.25","102.34999847412109","0.0"
"2015-06-27 16:00:00","4.4513888359069824","56.700000762939453","101.84999847412109","0.0"
"2015-06-27 17:00:00","3.7222223281860352","51.875","97.425003051757812","0.0"
"2015-06-27 18:00:00","3.5069444179534912","49.575000762939453","94.775001525878906","0.0"
"2015-06-27 19:00:00","3.375","49.400001525878906","95.224998474121094","0.0"
"2015-06-27 20:00:00","3.7152776718139648","48.75","94.724998474121094","0.0"
"2015-06-27 21:00:00","3.4791667461395264","49.349998474121094","94.875","0.0"
"2015-06-27 22:00:00","3.7708332538604736","48.950000762939453","94.074996948242188","0.0"
"2015-06-27 23:00:00","3.6805555820465088","48.974998474121094","94.5","0.0"
"2015-06-28 00:00:00","3.2430555820465088","49.900001525878906","95.300003051757813","0.0"
"2015-06-28 01:00:00","2.9375","49.799999237060547","95.724998474121094","0.0"
"2015-06-28 02:00:00","2.9305555820465088","50.049999237060547","95.875","0.0"
"2015-06-28 03:00:00","2.8402776718139648","50.349998474121094","96.400001525878906","0.0"
"2015-06-28 04:00:00","2.8125","50.0","95.800003051757813","0.0"
"2015-06-28 05:00:00","2.4930555820465088","50.325000762939453","96.800003051757813","0.0"
"2015-06-28 06:00:00","2.3194444179534912","50.75","96.599998474121094","0.0"
"2015-06-28 07:00:00","2.2291667461395264","50.799999237060547","96.574996948242188","0.0"
"2015-06-28 08:00:00","2.5555555820465088","57.224998474121094","103.15000152587891","0.0"
"2015-06-28 09:00:00","2.5486111640930176","60.099998474121094","106.07499694824219","0.0"
"2015-06-28 10:00:00","2.4652776718139648","60.625","106.75","0.0"
"2015-06-28 11:00:00","2.5416667461395264","60.875","106.90000152587891","0.0"
"2015-06-28 12:00:00","2.7013888359069824","60.775001525878906","106.80000305175781","0.0"
"2015-06-28 13:00:00","3.1944444179534912","59.299999237060547","105.05000305175781","0.0"
"2015-06-28 14:00:00","3.3402776718139648","58.525001525878906","104.15000152587891","0.0"
"2015-06-28 15:00:00","3.6041667461395264","57.950000762939453","103.375","0.0"
"2015-06-28 16:00:00","4.0763888359069824","57.549999237060547","102.57499694824219","0.0"
"2015-06-28 17:00:00","3.8263888359069824","51.575000762939453","96.699996948242188","0.0"
"2015-06-28 18:00:00","3.2361111640930176","49.849998474121094","95.400001525878906","0.0"
"2015-06-28 19:00:00","3.2847223281860352","49.650001525878906","95.025001525878906","0.0"
