V1,-25.44497005,-49.28592324
V2,-25.44471815,-49.28551555
V3,-25.4446019,-49.28504348
V4,-25.44435,-49.28472161
V5,-25.44436938,-49.28435683
V6,-25.44421437,-49.28399205
V7,-25.4439431,-49.28341269
V8,-25.44372996,-49.28270459
V9,-25.44398185,-49.28231835
V10,-25.44429188,-49.28216815
V11,-25.44466003,-49.28201795
V12,-25.4450088,-49.28180337
V13,-25.44562884,-49.2814815
V14,-25.44698516,-49.2876184
V15,-25.4474308,-49.28768277
V16,-25.44787645,-49.2877686
V17,-25.44828334,-49.2877686
V18,-25.44869023,-49.28791881
V19,-25.44909711,-49.28787589
V20,-25.44946525,-49.28800464
V21,-25.45000776,-49.28794026
V22,-25.44421437,-49.27927136
V23,-25.44442751,-49.27901387
V24,-25.44473753,-49.27892804
V25,-25.44504755,-49.27873492
V26,-25.44516381,-49.27864909
V27,-25.4454932,-49.27852035
V28,-25.44560946,-49.27849889
V29,-25.44584197,-49.27845597
V30,-25.44613261,-49.27828431
